wavelength_nm,index
1741.1534,140
1731.1924,139
1671.4203,133
1701.3074,136
1751.1144,141
1691.3453,135
1721.231,138
1711.2693,137
1681.3829,134
1322.5771,103
1641.531,130
1651.4944,131
1661.4575,132
1312.6058,102
1761.0751,142
1492.0521,115
1272.7183,98
1302.6343,101
2196.7766,174
2216.7454,176
2166.8066,171
2226.726,177
1631.5675,129
2256.6545,180
2036.6962,158
1601.6753,126
2206.7622,175
1195.9663,88
2246.6807,179
1262.4644,95
1252.773,96
1205.4817,89
2176.799,172
2156.812,170
2016.6447,156
1332.5481,104
1262.7457,97
1243.491,93
1214.9918,90
1292.6625,100
1186.4458,87
1176.9199,86
1157.8528,84
1591.7108,125
2056.7388,160
2046.7186,159
1581.746,124
1233.9965,92
1282.6906,99
1167.389,85
