wavelength_nm,index
1681.3829,134
1701.3074,136
1741.1534,140
1731.1924,139
1671.4203,133
1661.4575,132
1691.3453,135
1721.231,138
1711.2693,137
1751.1144,141
1641.531,130
2166.8066,171
1761.0751,142
2176.799,172
2196.7766,174
2226.726,177
1492.0521,115
1651.4944,131
2036.6962,158
2246.6807,179
2146.815,169
2056.7388,160
1631.5675,129
2186.789,173
2016.6447,156
2266.6262,181
2216.7454,176
2156.812,170
2046.7186,159
1591.7108,125
2206.7622,175
2136.8157,168
2236.7046,178
1482.085,114
1601.6753,126
2126.8142,167
2256.6545,180
2076.7717,162
2026.6716,157
1581.746,124
1611.6396,127
1312.6058,102
2086.785,163
2316.4495,186
1966.4753,151
1771.0355,143
1332.5481,104
1322.5771,103
1976.5138,152
2066.7563,161
