Run,Iteration,Wavelength,Coefficient
98,1,365.9298,0.01387981381696354
98,1,375.594,0.017105573012576005
98,1,385.26254,0.028060238261311182
98,1,394.93552,0.04266898659515621
98,1,404.61288,0.04200481554888581
98,1,414.29462,0.04213394175791618
98,1,423.98077,0.044161065938799496
98,1,433.6713,0.036649339423599075
98,1,443.3662,0.027320446468647223
98,1,453.06552,0.023981629008146627
98,1,462.7692,0.022622695249694253
98,1,472.4773,0.020730311214354646
98,1,482.18976,0.020684709620530387
98,1,511.35355,0.01822954155304722
98,1,550.30005,0.016840201018871265
98,1,589.3168,0.017230185982778243
98,1,618.6254,0.015466724052819045
98,1,638.18646,0.014537270866019475
98,1,657.7651,0.012823297861181169
98,1,667.561,0.01103913064383839
98,1,654.7923,0.008968108145596008
98,1,664.59937,0.007422676822514526
98,1,674.40125,0.006946887558671297
98,1,684.19794,0.00706085017620708
98,1,693.9894,0.007443003573561076
98,1,703.77563,0.008056077792165103
98,1,713.55664,0.00855116837110382
98,1,742.8685,0.008679001992039428
98,1,752.6287,0.008077291472939683
98,1,762.3837,0.007924719981981292
98,1,781.87805,0.007138820272841805
98,1,791.61743,0.006936953776565776
98,1,811.0805,0.0072466506084876035
98,1,869.3448,0.00690167867458167
98,1,946.7387,0.008368843762661345
98,1,966.0351,0.013786362448729043
98,1,985.3106,0.021220396286132336
98,1,994.94055,0.028119882957482755
98,1,1033.4083,0.00871932603051067
98,1,1052.611,0.019143256080895992
98,1,1062.2045,0.024077488727360312
98,1,1138.7648,0.02357718790729067
98,1,1167.389,0.01114626591155806
98,1,1176.9199,0.01803069213322433
98,1,1186.4458,0.018791029050422937
98,1,1205.4817,0.01670032988114659
98,1,1214.9918,0.015052191923411028
98,1,1224.4967,0.013173713234446978
98,1,1233.9965,0.009597061951065607
98,1,1243.491,0.009061876578884309
98,1,1252.773,0.0089702297281522
98,1,1272.7183,0.008412026854931495
98,1,1282.6906,0.007617439722910398
98,1,1292.6625,0.007526104806195846
98,1,1302.6343,0.00793845030617136
98,1,1312.6058,0.007902361043469936
98,1,1322.5771,0.005504146200231843
98,1,1412.3079,0.004563458546224211
98,1,1422.2767,0.0040999360530393604
98,1,1442.2137,0.004803322535999284
98,1,1452.1819,0.0019593253141283215
98,1,1462.1499,0.002204443786353401
98,1,1472.1176,0.0026428479605154548
98,1,1482.085,0.004918201964965455
98,1,1511.9858,0.0091499125146063
98,1,1541.8845,0.011382451332067868
98,1,1551.8502,0.013899478677816676
98,1,1561.8157,0.013559003527289967
98,1,1571.781,0.013028535405337039
98,1,1591.7108,0.012421972933846281
98,1,1611.6396,0.011607239894329014
98,1,1621.6036,0.01087599456149392
98,1,1631.5675,0.010214075991264681
98,1,1731.1924,0.009490247389416246
98,1,1751.1144,0.009011828771242455
98,1,1761.0751,0.009065145704475346
98,1,1771.0355,0.008686448139551415
98,1,1790.9557,0.007553181031981449
98,1,1800.9154,0.005917945023945267
98,1,1946.3915,0.003300096902814763
98,1,1966.4753,0.002920066644965225
98,1,1986.55,0.003697803506926617
98,1,1996.5839,0.0042973124964063025
98,1,2026.6716,0.006024304768573247
98,1,2036.6962,0.011710864403684684
98,1,2046.7186,0.014389921522463416
98,1,2086.785,0.01386851353764516
98,1,2096.7957,0.015725178437627434
98,1,2126.8142,0.014473362224492269
98,1,2146.815,0.015652161580069577
98,1,2166.8066,0.017396603406760677
98,1,2186.789,0.018735639463142877
98,1,2196.7766,0.018658525722626898
98,1,2216.7454,0.017475723396617404
98,1,2236.7046,0.01407735842630448
98,1,2256.6545,0.012785427119798671
98,1,2266.6262,0.01663022423072398
98,1,2276.5955,0.012805348355800383
98,1,2286.5625,0.015061348150638703
98,1,2296.527,0.017584273223676977
98,1,2306.4895,0.018319202936120618
98,1,2326.4072,0.01705351097484443
98,1,2336.3625,0.015788540466704113
98,1,2356.2666,0.014640395260836079
98,1,2366.215,0.012259692106027249
98,1,2376.1611,0.008619796748023958
98,1,2386.1052,0.004589582258454114
98,1,2405.986,0.007166944287101313
98,1,2415.923,0.013312661815505611
98,1,2425.8577,0.01666712891302387
98,1,2435.79,0.027099423407305062
98,1,2445.72,0.03415147699659842
98,1,2455.6477,0.03482310865338603
98,1,2465.5732,0.03533526036326674
98,2,385.26254,0.0159432898254117
98,2,394.93552,0.02010620153232412
98,2,404.61288,0.03377934503339725
98,2,414.29462,0.05551425098874215
98,2,423.98077,0.05593046186155952
98,2,443.3662,0.053555551577285504
